README Summary for Data Dictionary V1.2					
"- In 'data_files' column: '*' implies all files in that data set category from Mazumder, Pond, and Crandall Labs."					
					
Summary of V1.2 Changes in Property Definition List:					
Term	Action 	Affected Datasets 			
avg_read_length	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
max_read_length	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
min_read_length	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
num_reads_unique	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
pos_outlier_count	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
codon_table	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
percent_coding	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
percent_not_coding	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
density_n_per_read	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
complexity_percent	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
non_complex_percent	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
avg_quality_a	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
avg_quality_t	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
avg_quality_g	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
avg_quality_c	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
count_a	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
count_t	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
count_g	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
count_c	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
instrument	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
id_method	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
wgs_accession	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
strategy	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
ngs_score	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'ngsQC_NCBI.tsv'.	ngsQC_NCBI.tsv			
