#BioSample	Isolate
SAMN02934533	PDT000044232.2
SAMN10163186	PDT000410627.2
SAMN07312463	PDT000254973.2
SAMN16357196	PDT000924385.2
SAMN10163225	PDT000410178.1
SAMN11056361	PDT000594251.1
SAMN16357566	PDT001078341.1
SAMN02934510	PDT000044247.2
SAMN16357198	PDT000920797.1
SAMN21402692	PDT001147281.1
SAMN16357339	PDT000965970.1
SAMN07312453	PDT000254975.2
SAMN13450422	PDT000914536.2
SAMN03996311	PDT000100503.2
SAMN06173300	PDT000221692.3
SAMN16357413	PDT000965933.1
SAMN16357529	PDT001078220.1
SAMN13450408	PDT000913817.1
SAMN11056401	PDT000721972.1
SAMN13450409	PDT000919351.1
SAMN16357515	PDT000967039.1
SAMN16357246	PDT000939843.1
SAMN13450472	PDT000913842.1
SAMN16357448	PDT000967857.1
SAMN16357251	PDT000940237.2
SAMN16357259	PDT000940238.2
SAMN11056357	PDT000594241.2
SAMN16357577	PDT001078338.2
SAMN10163176	PDT000410011.1
SAMN06173304	PDT000294450.1
SAMN11056482	PDT000526997.1
SAMN03996338	PDT000100481.2
SAMN06173338	PDT000222206.3
SAMN03996266	PDT000292022.2
SAMN10163201	PDT000410626.2
SAMN11056364	PDT000596403.2
SAMN07312432	PDT000249047.4
SAMN04875593	PDT000198599.2
SAMN21402695	PDT001137228.1
SAMN16357225	PDT000924533.2
SAMN20888886	PDT001129064.1
SAMN06173335	PDT000222157.3
SAMN10346775	PDT000531907.2
SAMN06173303	PDT000221691.2
SAMN03255434	PDT000077173.2
SAMN10346773	PDT000525860.1
SAMN03996249	PDT000106398.2
SAMN13450471	PDT000913843.1
SAMN16357201	PDT000919690.1
SAMN11056480	PDT000525858.1
SAMN07312412	PDT000246718.1
SAMN07312417	PDT000246719.1
SAMN21218855	PDT001136982.1
SAMN16357397	PDT000965944.1
SAMN11056493	PDT000526047.1
SAMN10346771	PDT000526046.1
SAMN16357453	PDT000967399.1
SAMN16357457	PDT000967403.1
SAMN16357449	PDT000967408.1
SAMN16357213	PDT000924352.2
SAMN04875563	PDT000202843.3
SAMN05004741	PDT000302362.2
SAMN16357209	PDT000920790.1
SAMN16357204	PDT000932956.1
SAMN16357247	PDT000939018.2
SAMN13450460	PDT000915909.1
SAMN16357575	PDT001078336.2
SAMN16357197	PDT000920615.1
SAMN21402694	PDT001147278.1
SAMN21402700	PDT001137136.2
SAMN11056490	PDT000526535.1
SAMN16357255	PDT000939904.1
SAMN21218860	PDT001136993.1
SAMN16357585	PDT001078316.1
SAMN13450447	PDT000920617.1
SAMN03255470	PDT000066790.3
SAMN03255452	PDT000066806.3
SAMN03255463	PDT000066810.3
SAMN03255483	PDT000066819.3
SAMN10163227	PDT000410171.1
SAMN10163238	PDT000418339.2
SAMN10163212	PDT000418385.2
SAMN06173353	PDT000220641.2
SAMN06173358	PDT000222210.3
SAMN05004755	PDT000302364.2
SAMN05004744	PDT000280435.2
SAMN11056449	PDT000769617.2
SAMN21218845	PDT001137227.1
SAMN04875595	PDT000202858.2
SAMN03996309	PDT000106736.2
SAMN10163242	PDT000410177.1
SAMN11056331	PDT000594250.1
SAMN04875572	PDT000198582.3
SAMN16357253	PDT000940236.2
SAMN13450454	PDT000924326.2
SAMN02934521	PDT000044007.2
SAMN06173327	PDT000220627.2
SAMN16357528	PDT001078215.1
SAMN11056483	PDT000525859.1
SAMN03996288	PDT000289948.1
SAMN06173329	PDT000220630.2
SAMN16357236	PDT000919352.1
SAMN16357403	PDT000965942.1
SAMN16357393	PDT000965943.1
SAMN16357400	PDT000965950.1
SAMN16357410	PDT000965956.1
SAMN16357395	PDT000965961.1
SAMN16357446	PDT000967041.1
SAMN16357435	PDT000967048.1
SAMN16357514	PDT000967754.1
SAMN16357434	PDT000967762.1
SAMN10346772	PDT000526197.1
SAMN03255436	PDT000077176.2
SAMN16357524	PDT001078219.1
SAMN16357525	PDT001079301.1
SAMN16357531	PDT001078216.1
SAMN16357526	PDT001078207.1
SAMN16357527	PDT001078214.1
SAMN03996301	PDT000290065.1
SAMN10163190	PDT000410004.1
SAMN16357471	PDT000967410.1
SAMN16357463	PDT000967411.1
SAMN16357464	PDT000967413.1
SAMN04875562	PDT000202871.3
SAMN04875544	PDT000198595.2
SAMN04875543	PDT000201440.2
SAMN02934513	PDT000044244.2
SAMN06173296	PDT000253702.2
SAMN06173307	PDT000220638.2
SAMN02934542	PDT000044225.2
SAMN16357487	PDT000974139.1
SAMN11056438	PDT000640586.1
SAMN21402693	PDT001147279.1
SAMN07312456	PDT000246995.2
SAMN03255456	PDT000066808.3
SAMN16357210	PDT000920794.1
SAMN21218859	PDT001136994.1
SAMN11056343	PDT000721762.1
SAMN11056340	PDT000722854.1
SAMN03996270	PDT000100506.2
SAMN03255449	PDT000066776.3
SAMN03255450	PDT000066778.3
SAMN03255466	PDT000066785.3
SAMN03255462	PDT000066786.3
SAMN03255467	PDT000066789.3
SAMN03255472	PDT000066813.3
SAMN03255446	PDT000066803.3
SAMN03255444	PDT000066774.3
SAMN03255475	PDT000066793.3
SAMN03255453	PDT000066777.3
SAMN03255455	PDT000066807.3
SAMN11056488	PDT000531904.2
SAMN03255442	PDT000066773.3
SAMN03255473	PDT000066792.3
SAMN10163199	PDT000410174.1
SAMN05004742	PDT000280439.2
SAMN10346774	PDT000526998.1
SAMN10163177	PDT000410173.1
SAMN07312408	PDT000246725.1
SAMN04875594	PDT000202857.2
SAMN03996310	PDT000100498.2
SAMN11056515	PDT000772164.2
SAMN11056497	PDT000765711.2
SAMN11056507	PDT000761454.2
SAMN13450449	PDT000924327.2
SAMN13450450	PDT000918410.2
SAMN11056512	PDT000761452.2
SAMN11056402	PDT000640550.1
SAMN11056406	PDT000770893.1
SAMN06173333	PDT000294367.1
SAMN16357382	PDT000975623.1
SAMN16357443	PDT000967760.1
SAMN16357419	PDT000967759.1
SAMN16357402	PDT000965941.1
SAMN16357391	PDT000965947.1
SAMN16357399	PDT000965948.1
SAMN16357404	PDT000965957.1
SAMN16357409	PDT000965958.1
SAMN16357437	PDT000967036.1
SAMN16357445	PDT000967049.1
SAMN16357429	PDT000967756.1
SAMN16357513	PDT000967757.1
SAMN16357425	PDT000967767.1
SAMN13450475	PDT000913839.1
SAMN16357494	PDT000975624.1
SAMN16357491	PDT000975627.1
SAMN16357492	PDT000975634.1
SAMN11056491	PDT000526196.1
SAMN16357308	PDT000939008.1
SAMN13450476	PDT000913838.1
SAMN16357396	PDT000965946.1
SAMN16357521	PDT001078206.1
SAMN16357520	PDT001078213.1
SAMN16357530	PDT001078212.1
SAMN16357228	PDT000919689.1
SAMN16357533	PDT001099498.1
SAMN16357532	PDT001099499.1
SAMN13450473	PDT000913841.1
SAMN03996264	PDT000104249.2
SAMN16357466	PDT000967398.1
SAMN16357454	PDT000967404.1
SAMN16357472	PDT000967405.1
SAMN16357467	PDT000967406.1
SAMN16357461	PDT000967414.1
SAMN13450457	PDT000917171.1
SAMN06173348	PDT000294456.1
SAMN16357242	PDT000924534.1
SAMN07312472	PDT000253703.1
SAMN06173344	PDT000280437.2
SAMN03255454	PDT000066782.3
SAMN07312489	PDT000246722.2
SAMN16357245	PDT000939878.1
SAMN03255451	PDT000066775.3
SAMN03255445	PDT000066771.3
SAMN03255460	PDT000066781.3
SAMN03996293	PDT000100499.3
SAMN03996284	PDT000100501.3
SAMN03255485	PDT000066817.3
SAMN07312405	PDT000254966.2
SAMN06173369	PDT000222156.3
SAMN10163202	PDT000418349.2
SAMN10163217	PDT000410010.2
SAMN10163198	PDT000417785.1
SAMN10163220	PDT000417786.1
SAMN11056516	PDT000769591.2
SAMN11056413	PDT000665323.2
SAMN11056416	PDT000665324.2
SAMN11056415	PDT000665325.2
SAMN11056421	PDT000665326.2
SAMN11056420	PDT000665327.2
SAMN11056419	PDT000665328.2
SAMN11056409	PDT000722887.2
SAMN11056411	PDT000722888.2
SAMN11056412	PDT000722889.2
SAMN11056414	PDT000722890.2
SAMN11056418	PDT000769620.2
SAMN11056417	PDT000769621.2
SAMN11056410	PDT000769624.2
SAMN11056511	PDT000761430.2
SAMN11056508	PDT000761432.2
SAMN11056506	PDT000769461.2
SAMN11056496	PDT000761438.2
SAMN11056495	PDT000761439.2
SAMN11056510	PDT000761431.2
SAMN11056514	PDT000761428.2
SAMN11056513	PDT000761429.2
SAMN13450448	PDT000918413.2
SAMN11056517	PDT000761427.2
SAMN11056509	PDT000761453.2
SAMN02934526	PDT000044015.2
SAMN11056404	PDT000770894.1
SAMN11056428	PDT000784444.1
SAMN06173334	PDT000221671.2
SAMN11056432	PDT000770620.1
SAMN16357432	PDT000967050.1
SAMN02934522	PDT000044016.2
SAMN03996274	PDT000100154.2
SAMN16357493	PDT000975633.1
SAMN16357488	PDT000975626.1
SAMN16357438	PDT000967755.1
SAMN16357498	PDT000975628.1
SAMN16357428	PDT000967037.1
SAMN13450474	PDT000913840.1
SAMN16357489	PDT000975629.1
SAMN16357516	PDT001078210.1
SAMN16357517	PDT001078221.1
SAMN16357380	PDT000975620.1
SAMN16357227	PDT000919688.1
SAMN16357522	PDT001078218.1
SAMN11056407	PDT000770937.1
SAMN16357441	PDT000967043.1
SAMN16357469	PDT000967395.1
SAMN16357447	PDT000967397.1
SAMN02934520	PDT000044239.3
SAMN04875542	PDT000198593.2
SAMN02934515	PDT000044242.2
SAMN07312475	PDT000257795.1
SAMN16357474	PDT000967417.1
SAMN16357241	PDT000920804.1
SAMN07312482	PDT000253699.1
SAMN07312473	PDT000257794.1
SAMN11056360	PDT000594170.1
SAMN16357450	PDT000967409.1
SAMN03255486	PDT000066818.3
SAMN03255487	PDT000066800.3
SAMN03255441	PDT000066802.3
SAMN03255469	PDT000066787.3
SAMN03255459	PDT000066809.3
SAMN16357502	PDT000967391.1
SAMN16357386	PDT000964963.1
SAMN11056341	PDT000721276.1
SAMN02700075	PDT000025954.4
SAMN03255482	PDT000066797.3
SAMN03255481	PDT000066816.3
SAMN03255471	PDT000066812.3
SAMN06173354	PDT000222203.3
SAMN13450427	PDT000918422.2
SAMN06173325	PDT000221669.2
SAMN10163188	PDT000417610.1
SAMN06173306	PDT000221676.2
SAMN06173328	PDT000220628.2
SAMN06173330	PDT000294369.1
SAMN06173331	PDT000220629.2
SAMN06173326	PDT000221670.2
SAMN16357381	PDT000975621.1
SAMN16357495	PDT000975630.1
SAMN16357497	PDT000975631.1
SAMN16357496	PDT000975632.1
SAMN16357398	PDT000965945.1
SAMN16357406	PDT000965949.1
SAMN16357401	PDT000965962.1
SAMN16357392	PDT000965963.1
SAMN16357431	PDT000967035.1
SAMN16357421	PDT000967040.1
SAMN16357573	PDT001078333.1
SAMN11056430	PDT000640365.1
SAMN16357490	PDT000975625.1
SAMN10163230	PDT000413591.1
SAMN07312443	PDT000253652.1
SAMN16357523	PDT001078211.1
SAMN11056431	PDT000721760.1
SAMN11056405	PDT000770936.1
SAMN03996268	PDT000100497.2
SAMN07312479	PDT000253695.1
SAMN10163226	PDT000410005.1
SAMN16357458	PDT000967858.1
SAMN06173299	PDT000220640.3
SAMN03996282	PDT000100482.3
SAMN16357388	PDT000965972.1
SAMN16357387	PDT000965973.1
SAMN10346776	PDT000531941.2
SAMN10163195	PDT000410172.1
SAMN16357501	PDT000967392.1
SAMN03255489	PDT000066801.3
SAMN03996279	PDT000100500.3
SAMN03996304	PDT000106730.3
SAMN10163197	PDT000418300.2
SAMN03255448	PDT000066804.3
SAMN03255465	PDT000066784.3
SAMN16357500	PDT000974079.1
SAMN07312442	PDT000253650.1
SAMN06173305	PDT000220633.2
SAMN03996263	PDT000106400.2
SAMN10163218	PDT000413590.1
SAMN07312444	PDT000253649.1
SAMN10163231	PDT000409997.1
SAMN10163173	PDT000409998.1
SAMN16357394	PDT000965959.1
SAMN16357430	PDT000967046.1
SAMN16357418	PDT000967766.1
SAMN16357426	PDT000967768.1
SAMN16357440	PDT000967761.1
SAMN03996336	PDT000108207.2
SAMN16357436	PDT000974078.1
SAMN16357468	PDT000967396.1
SAMN16357470	PDT000967856.1
SAMN16357456	PDT000967859.1
SAMN16357569	PDT001078330.2
SAMN21218876	PDT001137137.2
SAMN21218853	PDT001137139.2
SAMN21218852	PDT001137140.2
SAMN06173345	PDT000222151.3
SAMN03255458	PDT000066780.3
SAMN10163178	PDT000417773.1
SAMN16357205	PDT000920622.1
SAMN10163196	PDT000418343.2
SAMN10163194	PDT000410175.1
SAMN16357411	PDT000975622.1
SAMN10163174	PDT000417614.1
SAMN07312471	PDT000253679.1
SAMN06173332	PDT000294368.1
SAMN16357433	PDT000967044.1
SAMN16357423	PDT000967763.1
SAMN16357422	PDT000967042.1
SAMN16357518	PDT001078209.1
SAMN16357519	PDT001078217.1
SAMN07312476	PDT000253701.1
SAMN16357475	PDT000967418.1
SAMN07312474	PDT000400239.1
SAMN06173339	PDT000280440.2
SAMN03255447	PDT000066805.3
SAMN03255457	PDT000066779.3
SAMN03255443	PDT000066772.3
SAMN11056375	PDT000596396.2
SAMN03255474	PDT000066815.3
SAMN03255479	PDT000066814.3
SAMN03996315	PDT000100155.2
SAMN16357420	PDT000977000.1
SAMN10163175	PDT000417609.1
SAMN07312478	PDT000257785.1
SAMN16357407	PDT000965964.1
SAMN16357424	PDT000967034.1
SAMN16357512	PDT000967758.1
SAMN16357439	PDT000967764.1
SAMN03996262	PDT000100505.2
SAMN16357465	PDT000967400.1
SAMN03996259	PDT000291300.1
SAMN11056481	PDT000531906.2
SAMN03255461	PDT000066783.3
SAMN07312486	PDT000257792.1
SAMN11056344	PDT000594167.1
SAMN07312484	PDT000257789.1
SAMN11056345	PDT000594165.1
SAMN03255477	PDT000066791.3
SAMN03255488	PDT000066799.3
SAMN10163180	PDT000413280.2
SAMN03255464	PDT000066811.3
SAMN03255468	PDT000066788.3
SAMN16357574	PDT001078337.2
SAMN16357408	PDT000965965.1
SAMN10163187	PDT000417619.1
SAMN16357405	PDT000964962.1
SAMN16357442	PDT000967045.1
SAMN16357427	PDT000967765.1
SAMN07312492	PDT000253681.1
SAMN16357444	PDT000967038.1
SAMN07312480	PDT000257790.1
SAMN10163191	PDT000417732.1
SAMN16357452	PDT000967860.1
SAMN16357451	PDT000967412.1
SAMN03255480	PDT000066796.3
SAMN03255476	PDT000066794.3
SAMN07312483	PDT000253696.1
SAMN03255484	PDT000066798.3
SAMN07312485	PDT000253677.1
SAMN07312481	PDT000253678.1
SAMN10163252	PDT000417613.1
SAMN07312445	PDT000246721.1
SAMN11056487	PDT000526195.1
SAMN16357390	PDT000965960.1
SAMN07312490	PDT000253694.1
SAMN03996286	PDT000100156.2
SAMN06173361	PDT000221677.2
SAMN07312447	PDT000246720.1
SAMN07312446	PDT000253651.1
SAMN06173362	PDT000294375.1
SAMN16357412	PDT000964961.1
SAMN07312477	PDT000253680.1
SAMN07312488	PDT000253693.1
SAMN07312491	PDT000257791.1
