"genome_assembly_id","fdaargos_seq_feature","genomic_identifier","num_nuc_call","percent_nuc_call","genomic_coordinate_start","genomic_coordinates_end","protein_coordinates_start","protein_coordinates_end","forward_reverse_disbalance","source","seq_feature_tag","seq_feature_value"
"","","NC_045512.2","","","","","","","","","",""
"","","","","","","","","","","","",""
